epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.693,1.85213,3.65487,1.04273,0.00303,0.33333,0.33167,0.27723,1.56982,4.07198,0.96099,0.000390625,0.000390625,0.000390625
2,37.1155,1.8306,3.00217,0.98646,0.00309,0.33333,0.16583,0.10611,2.85534,3.8868,1.47854,0.000780651,0.000780651,0.000780651
3,52.5101,1.78703,2.45354,0.98215,0.83866,0.26667,0.33936,0.1699,2.13065,3.34611,1.31714,0.00114318,0.00114318,0.00114318
4,68.4481,1.9031,1.99374,0.99996,0.16701,0.80419,0.33823,0.12785,1.92841,3.03018,1.1534,0.00112625,0.00112625,0.00112625
5,84.594,1.77759,1.60781,0.9798,0.14451,0.71668,0.2648,0.12333,2.33772,2.47604,1.21581,0.001085,0.001085,0.001085
6,100.603,1.70545,1.38103,0.96141,0.72087,0.49758,0.57974,0.4329,1.81946,2.27313,1.04055,0.00104375,0.00104375,0.00104375
7,116.67,1.6575,1.28283,0.95446,0.508,0.55694,0.57168,0.41417,1.76694,1.91823,1.01528,0.0010025,0.0010025,0.0010025
8,132.507,1.59887,1.14518,0.94369,0.54706,0.55897,0.57107,0.39216,1.89734,1.59347,1.06806,0.00096125,0.00096125,0.00096125
9,147.988,1.48889,1.07256,0.93948,0.60352,0.67174,0.65257,0.46831,1.55344,1.44967,0.96203,0.00092,0.00092,0.00092
10,164.15,1.47672,1.00135,0.92503,0.87361,0.58578,0.61346,0.37788,1.81466,1.44196,1.04323,0.00087875,0.00087875,0.00087875
11,179.829,1.42617,0.93619,0.91851,0.88616,0.594,0.64941,0.41211,1.63511,1.45686,0.99613,0.0008375,0.0008375,0.0008375
12,195.996,1.44809,0.91246,0.92145,0.88957,0.59459,0.65148,0.41693,1.6346,1.35469,0.99453,0.00079625,0.00079625,0.00079625
13,211.572,1.36598,0.84562,0.90738,0.90841,0.59783,0.62655,0.41079,1.87913,1.45743,1.05859,0.000755,0.000755,0.000755
14,226.84,1.34812,0.83543,0.91809,0.62584,0.75422,0.70742,0.49497,1.45958,1.25781,0.95589,0.00071375,0.00071375,0.00071375
15,242.416,1.3281,0.81513,0.917,0.63782,0.72919,0.67945,0.44734,1.5996,1.27582,0.98368,0.0006725,0.0006725,0.0006725
16,258.263,1.31083,0.79552,0.91594,0.64165,0.71158,0.71598,0.46509,1.53795,1.25404,0.97412,0.00063125,0.00063125,0.00063125
17,273.501,1.31673,0.78288,0.91247,0.56572,0.75756,0.70644,0.43366,1.54927,1.26419,0.97586,0.00059,0.00059,0.00059
18,289.346,1.31896,0.77308,0.90346,0.91267,0.60507,0.6611,0.40535,1.66225,1.35194,0.99594,0.00054875,0.00054875,0.00054875
19,304.509,1.33759,0.77473,0.91112,0.60879,0.77803,0.72175,0.49047,1.43008,1.34711,0.94321,0.0005075,0.0005075,0.0005075
20,320.968,1.40338,0.7858,0.90163,0.59352,0.78905,0.71598,0.49991,1.46612,1.31729,0.9492,0.00046625,0.00046625,0.00046625
21,334.535,1.25251,0.77558,0.91193,0.57442,0.72483,0.69986,0.47699,1.48904,1.26943,0.95791,0.000425,0.000425,0.000425
22,347.994,1.22234,0.74488,0.90709,0.61881,0.71394,0.70479,0.49397,1.42063,1.25231,0.94477,0.00038375,0.00038375,0.00038375
23,361.601,1.18176,0.73066,0.905,0.89659,0.59908,0.69286,0.4751,1.43928,1.30715,0.95085,0.0003425,0.0003425,0.0003425
24,374.694,1.19013,0.7301,0.90125,0.58391,0.74687,0.71043,0.48322,1.43513,1.24838,0.95354,0.00030125,0.00030125,0.00030125
25,388.148,1.18183,0.7045,0.90308,0.58801,0.75834,0.72882,0.50313,1.43913,1.22019,0.94967,0.00026,0.00026,0.00026
26,401.691,1.18294,0.704,0.89965,0.58183,0.75249,0.71633,0.49722,1.42334,1.22353,0.94998,0.00021875,0.00021875,0.00021875
27,415.149,1.16311,0.70323,0.89653,0.898,0.60145,0.6905,0.48259,1.44257,1.30581,0.95551,0.0001775,0.0001775,0.0001775
28,428.429,1.16646,0.69027,0.90671,0.89705,0.60178,0.67113,0.47736,1.42218,1.36048,0.9487,0.00013625,0.00013625,0.00013625
29,441.91,1.14106,0.7094,0.89795,0.89408,0.59754,0.67882,0.48485,1.40369,1.36305,0.94412,9.5e-05,9.5e-05,9.5e-05
30,455.318,1.15301,0.70364,0.90284,0.89122,0.60024,0.68798,0.48526,1.40947,1.35993,0.94379,5.375e-05,5.375e-05,5.375e-05
