epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4067,1.37411,1.46396,1.04086,0.64511,0.72682,0.65843,0.41391,1.5854,1.22557,1.24966,0.000410053,0.000410053,0.000410053
2,80.7772,1.37295,1.17966,1.04068,0.4533,0.70535,0.52814,0.23417,1.52132,0.95756,1.16399,0.000818535,0.000818535,0.000818535
3,120.546,1.35413,0.85276,1.0176,0.56223,0.72011,0.65038,0.37761,1.73764,1.07928,1.3014,0.00121877,0.00121877,0.00121877
4,161.854,1.3765,0.83737,1.0375,0.69135,0.41111,0.42294,0.25496,1.47227,1.65148,1.17597,0.00121287,0.00121287,0.00121287
5,202.081,1.27773,0.75458,1.01416,0.90557,0.6087,0.57314,0.41489,1.65142,1.56157,1.25446,0.0012005,0.0012005,0.0012005
6,242.38,1.24031,0.99332,1.03487,0.89302,0.60507,0.59466,0.44737,1.38516,1.63279,1.14063,0.00118812,0.00118812,0.00118812
7,283.541,1.22522,0.83305,0.99738,0.859,0.54152,0.56981,0.28895,1.37651,1.7463,1.12773,0.00117575,0.00117575,0.00117575
8,323.921,1.18672,0.73412,0.9828,0.83606,0.57488,0.61898,0.4725,1.36022,1.42458,1.13055,0.00116337,0.00116337,0.00116337
9,363.686,1.17231,0.72885,0.98559,0.91268,0.60749,0.5668,0.37954,1.42521,1.62488,1.15516,0.001151,0.001151,0.001151
10,403.963,1.16235,0.67528,0.97615,0.85061,0.56956,0.56325,0.40679,1.29502,1.65626,1.10284,0.00113863,0.00113863,0.00113863
11,444.525,1.11492,0.64841,0.95692,0.65939,0.6581,0.63524,0.51077,1.31723,1.34549,1.11271,0.00112625,0.00112625,0.00112625
12,485.055,1.1614,0.63596,0.96765,0.91373,0.59903,0.6,0.45567,1.37689,1.55511,1.13852,0.00111388,0.00111388,0.00111388
13,525.723,1.14783,0.62711,0.96403,0.9057,0.60147,0.59291,0.42666,1.35173,1.61383,1.13591,0.0011015,0.0011015,0.0011015
14,566.608,1.04974,0.60257,0.9477,0.91489,0.60819,0.60272,0.43345,1.34461,1.55313,1.12067,0.00108913,0.00108913,0.00108913
15,607.785,1.08105,0.59391,0.95083,0.91442,0.60933,0.67268,0.48892,1.3304,1.37244,1.11054,0.00107675,0.00107675,0.00107675
